CPS Name,Lit. Name,system_name,sysname,cps_identifier,comp_ind,Msini,Msini_high,Msini_low,a,a_high,a_low,ecc,ecc_high,ecc_low,teff,teff_err,feh,feh_err,logg,logg_err,Rstar,Rstar_err,Mstar,Mstar_err,Vmag,BV_color,parallax
HD 156279 b,HD 156279 b,HD 156279,HD156279,156279,0,9.5,0.31,0.31,0.5039,0.0082,0.0084,0.64779,0.00068,0.00066,5458.2,84.2,0.192,0.058,4.45,0.033,0.966,0.022,0.96,0.047,5.3266,0.801,0.0276
HD 156279c,HD 156279c,HD 156279,HD156279,156279,1,9.44,0.31,0.32,5.46,0.091,0.093,0.2597,0.005,0.0049,5458.2,84.2,0.192,0.058,4.45,0.033,0.966,0.022,0.96,0.047,5.3266,0.801,0.0276
HD 156668c,HD 156668c,HD 156668,HD156668,156668,0,0.0158,0.0013,0.0013,0.05025,0.0005,0.00051,0.235,0.072,0.072,4903.7,59.6,0.049,0.056,4.551,0.018,0.775,0.012,0.785,0.024,6.5244,1.015,0.04107
HD 156668 b,HD 156668 b,HD 156668,HD156668,156668,1,0.0991,0.0079,0.0077,1.57,0.017,0.017,0.089,0.084,0.061,4903.7,59.6,0.049,0.056,4.551,0.018,0.775,0.012,0.785,0.024,6.5244,1.015,0.04107
HD 16141 b,HD 16141 b,HD 16141,HD16141,16141,0,0.25,0.017,0.017,0.3609,0.0072,0.0075,0.195,0.051,0.051,5771.0,97.4,0.155,0.062,4.1,0.035,1.549,0.038,1.101,0.068,4.0041,0.71,0.02644
HD 164922 e,HD 164922 e,HD 164922,HD164922,164922,0,0.0149,0.0021,0.0021,0.1023,0.0012,0.0012,0.18,0.17,0.12,5393.4,68.3,0.197,0.057,4.398,0.025,1.002,0.022,0.921,0.032,5.2853,0.8,0.04542
HD 164922 d,HD 164922 d,HD 164922,HD164922,164922,1,0.0331,0.0031,0.0031,0.2292,0.0026,0.0027,0.086,0.083,0.06,5393.4,68.3,0.197,0.057,4.398,0.025,1.002,0.022,0.921,0.032,5.2853,0.8,0.04542
HD 164922c,HD 164922c,HD 164922,HD164922,164922,2,0.0451,0.0036,0.0036,0.3411,0.0039,0.004,0.096,0.088,0.066,5393.4,68.3,0.197,0.057,4.398,0.025,1.002,0.022,0.921,0.032,5.2853,0.8,0.04542
HD 164922 b,HD 164922 b,HD 164922,HD164922,164922,3,0.344,0.013,0.013,2.149,0.025,0.025,0.065,0.027,0.029,5393.4,68.3,0.197,0.057,4.398,0.025,1.002,0.022,0.921,0.032,5.2853,0.8,0.04542
HD 167042 b,HD 167042 b,HD 167042,HD167042,167042,0,1.59,0.13,0.13,1.304,0.04,0.043,0.092,0.061,0.057,4926.1,79.2,0.093,0.061,3.286,0.052,4.902,0.108,1.691,0.159,2.4751,0.943,0.02011
HD 168009 b,HIP 89474 b,HD 168009,HD168009,168009,0,0.03,0.0038,0.0037,0.1192,0.0017,0.0018,0.121,0.11,0.082,5778.3,94.4,0.018,0.061,4.265,0.03,1.21,0.028,0.986,0.044,4.5302,0.604,0.04288
HD 168443 b,HD 168443 b,HD 168443,HD168443,168443,0,7.92,0.16,0.16,0.2977,0.0029,0.003,0.5313,0.00062,0.00061,5530.0,97.4,0.076,0.062,3.988,0.023,1.711,0.04,1.042,0.031,4.028,0.7,0.02521
HD 168443c,HD 168443c,HD 168443,HD168443,168443,1,17.76,0.35,0.35,2.881,0.028,0.029,0.2112,0.0013,0.0013,5530.0,97.4,0.076,0.062,3.988,0.023,1.711,0.04,1.042,0.031,4.028,0.7,0.02521
HD 168746 b,HD 168746 b,HD 168746,HD168746,168746,0,0.2294,0.0078,0.0075,0.06504,0.00054,0.00056,0.098,0.026,0.026,5618.9,59.7,-0.034,0.058,4.305,0.021,1.101,0.024,0.895,0.023,4.7765,0.69,0.02403
HD 169830 b,HD 169830 b,HD 169830,HD169830,169830,0,2.957,0.069,0.07,0.8131,0.0082,0.0085,0.306,0.012,0.013,6179.3,97.6,0.12,0.062,4.009,0.025,1.936,0.046,1.407,0.043,3.11,0.475,0.02656
HD 169830c,HD 169830c,HD 169830,HD169830,169830,1,3.51,0.12,0.12,3.283,0.035,0.036,0.257,0.019,0.019,6179.3,97.6,0.12,0.062,4.009,0.025,1.936,0.046,1.407,0.043,3.11,0.475,0.02656
HD 170469 b,HD 170469 b,HD 170469,HD170469,170469,0,0.555,0.075,0.072,2.212,0.04,0.044,0.15,0.16,0.11,5765.6,100.1,0.311,0.059,4.28,0.029,1.275,0.029,1.135,0.048,4.1562,0.62,0.01659
